Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
98,Victor Anichebe,ng NGA,FWMF,Sunderland,eng Premier League,28,1988,18,14,1219,13.5,0.22,0,0.22,0,0,0.15,0,0.22,0,0.22,0.22,0.22,Matches,4aed5c19
99,Cristian Ansaldi,ar ARG,DF,Inter,it Serie A,29,1986,21,17,1500,16.7,0,0.06,0,0,0,0.54,0.12,0,0.06,0.06,0,0.06,Matches,bbafc0c4
100,Luca Antei,it ITA,DF,Sassuolo,it Serie A,24,1992,15,11,1114,12.4,0.08,0,0.08,0,0,0.32,0,0.08,0,0.08,0.08,0.08,Matches,97c9bce3
101,Luca Antonelli,it ITA,DF,Milan,it Serie A,29,1987,7,3,309,3.4,0,0.29,0,0,0,0.29,0,0,0.29,0.29,0,0.29,Matches,40f0ed6c
102,José Antonio Reyes,es ESP,MFFW,Espanyol,es La Liga,32,1983,21,10,869,9.7,0.31,0.41,0.21,0.1,0.1,0.1,0,0.31,0.41,0.72,0.21,0.62,Matches,19058f02
103,Michail Antonio,jm JAM,MFFW,West Ham,eng Premier League,26,1990,29,29,2434,27,0.33,0.11,0.33,0,0,0.19,0.07,0.33,0.11,0.44,0.33,0.44,Matches,ac05f970
104,Ikechi Anya,sct SCO,FWMF,Watford,eng Premier League,28,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c55e973d
105,Siniša Anđelković,si SVN,DF,Palermo,it Serie A,30,1986,22,21,1836,20.4,0,0.05,0,0,0,0.15,0,0,0.05,0.05,0,0.05,Matches,f978a28b
106,Dennis Aogo,de GER,MFDF,Schalke 04,de Bundesliga,29,1987,7,3,290,3.2,0,0,0,0,0,0.31,0,0,0,0,0,0,Matches,c311243f
107,Houssem Aouar,fr FRA,FW,Lyon,fr Ligue 1,18,1998,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a5db0bec
108,Carlos Apna Embaló,gw GNB,FWMF,Palermo,it Serie A,21,1994,12,8,621,6.9,0,0.14,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches,3eeb0554
109,Alberto Aquilani,it ITA,MF,Sassuolo,it Serie A,32,1984,16,14,1237,13.7,0,0.07,0,0,0,0.22,0,0,0.07,0.07,0,0.07,Matches,ad340e17
110,Alberto Aquilani,it ITA,MFFW,Pescara,it Serie A,32,1984,9,6,551,6.1,0.16,0.16,0.16,0,0,0.33,0.33,0.16,0.16,0.33,0.16,0.33,Matches,ad340e17
111,Mauro Arambarri,uy URU,MF,Bordeaux,fr Ligue 1,20,1995,4,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,58afe001
112,Mattia Aramu,it ITA,FW,Torino,it Serie A,21,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0847b5a5
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,27,1989,26,22,1815,20.2,0.1,0.1,0.05,0.05,0.1,0.4,0.1,0.1,0.1,0.2,0.05,0.15,Matches,56413b1f
114,Sergio Araujo,ar ARG,FW,Las Palmas,es La Liga,24,1992,11,5,533,5.9,0.34,0.17,0.34,0,0,0.34,0,0.34,0.17,0.51,0.34,0.51,Matches,080ac8d8
115,Álvaro Arbeloa,es ESP,DF,West Ham,eng Premier League,33,1983,3,1,258,2.9,0,0,0,0,0,1.03,0,0,0,0,0,0,Matches,6dc73abd
116,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,29,1987,22,17,1574,17.5,0,0.11,0,0,0,0.29,0,0,0.11,0.11,0,0.11,Matches,850c0a0d
117,Markel Areitio,es ESP,GK,Eibar,es La Liga,19,1996,1,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f6d651a5
118,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,23,1993,15,14,1297,14.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2f965a72
119,Scott Arfield,ca CAN,MF,Burnley,eng Premier League,27,1988,31,23,2102,23.4,0.04,0.04,0.04,0,0,0.13,0,0.04,0.04,0.09,0.04,0.09,Matches,b1313ec4
120,Fernando Aristeguieta,ve VEN,FW,Nantes,fr Ligue 1,24,1992,5,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0c403511
121,Sylvain Armand,fr FRA,DF,Rennes,fr Ligue 1,35,1980,1,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cfa036c3
122,Pablo Armero,co COL,DF,Udinese,it Serie A,29,1986,2,2,180,2,0,0,0,0,0,0.5,0,0,0,0,0,0,Matches,afabf74e
123,Marko Arnautović,at AUT,MFFW,Stoke City,eng Premier League,27,1989,32,32,2714,30.2,0.2,0.17,0.2,0,0.03,0.3,0.03,0.2,0.17,0.36,0.2,0.36,Matches,459419
124,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,22,1994,32,28,2423,26.9,0.07,0.11,0.07,0,0,0.33,0,0.07,0.11,0.19,0.07,0.19,Matches,86e119e0
125,Alejandro Arribas,es ESP,DF,La Coruña,es La Liga,27,1989,23,20,1910,21.2,0,0,0,0,0,0.33,0,0,0,0,0,0,Matches,cc29324e
126,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,21,1994,23,23,2015,22.4,0,0,0,0,0,0.04,0,0,0,0,0,0,Matches,28d596a0
127,Harry Arter,ie IRL,MF,Bournemouth,eng Premier League,26,1989,35,33,2957,32.9,0.03,0.09,0.03,0,0.03,0.36,0.06,0.03,0.09,0.12,0.03,0.12,Matches,2f4c5a52
128,Aythami Artiles,es ESP,DF,Las Palmas,es La Liga,30,1986,11,8,835,9.3,0,0,0,0,0,0.54,0.11,0,0,0,0,0,Matches,01ae64cd
129,Kwadwo Asamoah,gh GHA,DFMF,Juventus,it Serie A,27,1988,18,16,1472,16.4,0,0.06,0,0,0,0.12,0,0,0.06,0.06,0,0.06,Matches,089550f5
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,27,1989,24,24,2104,23.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9f0ea33f
131,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,20,1996,23,11,1082,12,0.25,0.17,0.25,0,0,0,0,0.25,0.17,0.42,0.25,0.42,Matches,45af8a54
132,Joel Asoro,se SWE,FW,Sunderland,eng Premier League,17,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,13e827f8
133,Iago Aspas,es ESP,FWMF,Celta Vigo,es La Liga,28,1987,32,25,2315,25.7,0.74,0.12,0.51,0.23,0.23,0.35,0.04,0.74,0.12,0.86,0.51,0.62,Matches,7dcf86f6
134,Benoît Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,32,1984,18,16,1479,16.4,0,0.06,0,0,0,0.06,0.18,0,0.06,0.06,0,0.06,Matches,a557e6b0
135,Davide Astori,it ITA,DF,Fiorentina,it Serie A,29,1987,33,33,2967,33,0.06,0,0.06,0,0,0.36,0.06,0.06,0,0.06,0.06,0.06,Matches,1522dab2
136,Barış Atik,de GER,FWMF,Hoffenheim,de Bundesliga,21,1995,3,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d452e43d
137,Omer Atzili,il ISR,MF,Granada,es La Liga,23,1993,9,3,317,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,92fffd91
138,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,27,1989,32,31,2779,30.9,1,0.1,0.94,0.06,0.13,0.1,0,1,0.1,1.1,0.94,1.04,Matches,d5dd5f1f
139,Emil Audero,it ITA,GK,Juventus,it Serie A,19,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,649b01d8
140,Jean-Kévin Augustin,fr FRA,FW,Paris S-G,fr Ligue 1,19,1997,10,1,196,2.2,0.45,0.91,0.45,0,0,0,0,0.46,0.92,1.38,0.46,1.38,Matches,97bfa797
141,Serge Aurier,ci CIV,DF,Paris S-G,fr Ligue 1,23,1992,22,21,1829,20.3,0,0.15,0,0,0,0.2,0.1,0,0.15,0.15,0,0.15,Matches,5c2b4f07
142,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,27,1989,15,11,934,10.4,0.58,0.1,0.38,0.19,0.19,0.1,0,0.58,0.1,0.67,0.39,0.48,Matches,8d228291
143,Donis Avdijaj,xk KVX,MF,Schalke 04,de Bundesliga,19,1996,9,2,298,3.3,0.61,0,0.61,0,0,0.3,0,0.6,0,0.6,0.6,0.6,Matches,e65a7469
144,Danilo Avelar,br BRA,DF,Torino,it Serie A,27,1989,3,3,262,2.9,0,0,0,0,0,0.34,0,0,0,0,0,0,Matches,eacb45fd
145,Daniel Ayala,es ESP,DF,Middlesbrough,eng Premier League,25,1990,14,11,918,10.2,0.1,0,0.1,0,0,0.29,0,0.1,0,0.1,0.1,0.1,Matches,302560a0
146,André Ayew,gh GHA,MFFW,West Ham,eng Premier League,26,1989,25,16,1438,16,0.38,0.19,0.38,0,0,0.06,0,0.38,0.19,0.56,0.38,0.56,Matches,5dbefa9d
